naics,naics_title,total,know,passes_usd,agreed3_usd,blocked,share_total,share_know,payroll_scored_by_three
623300,Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,43252169300.0,14244685900.0,566542561.4274273,198427508.9378536,1172002083.605307,0.013098592986119364,0.039772204554361375,14244685900.0
813200,Grantmaking and Giving Services,15063554300.0,14583337600.0,561484464.0602747,227158272.81209064,1946573474.436385,0.03727436784692141,0.038501780556755044,14583337600.0
488100,Support Activities for Air Transportation,16021560600.0,5436428800.0,538749927.8170516,331583207.97631013,769668086.2310231,0.033626557441417515,0.09909996941688111,5436428800.0
813100,Religious Organizations,10786106800.0,8562227600.0,524168795.994069,152563786.8444372,1260614221.7860892,0.0485966628843383,0.061218741253043656,8562227600.0
541400,Specialized Design Services,11862962100.0,11151751600.0,517505262.5968443,173415596.51868078,2768282662.7487745,0.04362361257116756,0.04640573796468389,11151751600.0
811300,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,15836084000.0,5923306600.0,502569471.3380112,244086665.25123915,709080417.0646961,0.031735716439620504,0.08484610121954707,5923306600.0
812300,Drycleaning and Laundry Services,10642071200.0,3266828500.0,500894994.6075513,294125630.53837174,602006906.144353,0.04706743501279631,0.1533276064560938,3266828500.0
813400,Civic and Social Organizations,15440734200.0,7798878300.0,500223276.68653035,234770609.70520523,1272545240.985055,0.03239634010969053,0.06414041320359241,7798878300.0
611500,Technical and Trade Schools,10280042600.0,8347357800.0,487918284.39078885,319575642.09799767,1216577683.230464,0.047462671447566655,0.05845182344894678,8347357800.0
516100,Radio and Television Broadcasting Stations,9175346800.0,8978767200.0,475458262.23563385,173550087.24643615,2305449533.14551,0.051819105326420346,0.052953623993685216,8978767200.0
445300,"Beer, Wine, and Liquor Retailers",6648691300.0,5826139400.0,467925248.7237635,207142802.7554979,685729197.1315423,0.07037854934305095,0.08031480481290296,5826139400.0
3370A1,Furniture and Related Product Manufacturing (3371 and 3372 only),17371543700.0,6273484400.0,463746826.23585093,190622737.48939836,767364139.049755,0.026695775242809937,0.0739217309978249,6273484400.0
221200,Natural Gas Distribution,11592531500.0,6514819900.0,454169058.2539519,218272456.06155586,919115479.4038723,0.03917772906236674,0.06971321774435421,6514819900.0
